"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Hourly Benefit in Kind","2014Q2","Construction (F)","All employees","Euro","0.05"
"Average Hourly Benefit in Kind","2014Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2014Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2014Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2014Q3","Construction (F)","All employees","Euro","0.05"
"Average Hourly Benefit in Kind","2014Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2014Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2014Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2014Q4","Construction (F)","All employees","Euro","0.07"
"Average Hourly Benefit in Kind","2014Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2014Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2014Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2015Q1","Construction (F)","All employees","Euro","0.05"
"Average Hourly Benefit in Kind","2015Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2015Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2015Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2015Q2","Construction (F)","All employees","Euro","0.05"
"Average Hourly Benefit in Kind","2015Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2015Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2015Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2015Q3","Construction (F)","All employees","Euro","0.05"
"Average Hourly Benefit in Kind","2015Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2015Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2015Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2015Q4","Construction (F)","All employees","Euro","0.06"
"Average Hourly Benefit in Kind","2015Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2015Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2015Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2016Q1","Construction (F)","All employees","Euro","0.05"
"Average Hourly Benefit in Kind","2016Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2016Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2016Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2016Q2","Construction (F)","All employees","Euro","0.06"
"Average Hourly Benefit in Kind","2016Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2016Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2016Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2016Q3","Construction (F)","All employees","Euro","0.07"
"Average Hourly Benefit in Kind","2016Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2016Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2016Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2016Q4","Construction (F)","All employees","Euro","0.11"
"Average Hourly Benefit in Kind","2016Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2016Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2016Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2017Q1","Construction (F)","All employees","Euro","0.1"
"Average Hourly Benefit in Kind","2017Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2017Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2017Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2017Q2","Construction (F)","All employees","Euro","0.1"
"Average Hourly Benefit in Kind","2017Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2017Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2017Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2017Q3","Construction (F)","All employees","Euro","0.08"
"Average Hourly Benefit in Kind","2017Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2017Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2017Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2017Q4","Construction (F)","All employees","Euro","0.09"
"Average Hourly Benefit in Kind","2017Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2017Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2017Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2018Q1","Construction (F)","All employees","Euro","0.11"
"Average Hourly Benefit in Kind","2018Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2018Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2018Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2018Q2","Construction (F)","All employees","Euro","0.1"
"Average Hourly Benefit in Kind","2018Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2018Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2018Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2018Q3","Construction (F)","All employees","Euro","0.06"
"Average Hourly Benefit in Kind","2018Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2018Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2018Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2018Q4","Construction (F)","All employees","Euro","0.1"
"Average Hourly Benefit in Kind","2018Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2018Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2018Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2019Q1","Construction (F)","All employees","Euro","0.06"
"Average Hourly Benefit in Kind","2019Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2019Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2019Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2019Q2","Construction (F)","All employees","Euro","0.07"
"Average Hourly Benefit in Kind","2019Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2019Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2019Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2019Q3","Construction (F)","All employees","Euro","0.09"
"Average Hourly Benefit in Kind","2019Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2019Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2019Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2019Q4","Construction (F)","All employees","Euro","0.07"
"Average Hourly Benefit in Kind","2019Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2019Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2019Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2020Q1","Construction (F)","All employees","Euro","0.09"
"Average Hourly Benefit in Kind","2020Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2020Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2020Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2020Q2","Construction (F)","All employees","Euro","0.07"
"Average Hourly Benefit in Kind","2020Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2020Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2020Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2020Q3","Construction (F)","All employees","Euro","0.08"
"Average Hourly Benefit in Kind","2020Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2020Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2020Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2020Q4","Construction (F)","All employees","Euro","0.08"
"Average Hourly Benefit in Kind","2020Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2020Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2020Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2021Q1","Construction (F)","All employees","Euro","0.1"
"Average Hourly Benefit in Kind","2021Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2021Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2021Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2021Q2","Construction (F)","All employees","Euro","0.08"
"Average Hourly Benefit in Kind","2021Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2021Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2021Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2021Q3","Construction (F)","All employees","Euro","0.1"
"Average Hourly Benefit in Kind","2021Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2021Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2021Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2021Q4","Construction (F)","All employees","Euro","0.11"
"Average Hourly Benefit in Kind","2021Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2021Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2021Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2022Q1","Construction (F)","All employees","Euro","0.12"
"Average Hourly Benefit in Kind","2022Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2022Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2022Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2022Q2","Construction (F)","All employees","Euro","0.1"
"Average Hourly Benefit in Kind","2022Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2022Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2022Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2022Q3","Construction (F)","All employees","Euro","0.1"
"Average Hourly Benefit in Kind","2022Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2022Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2022Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Benefit in Kind","2022Q4","Construction (F)","All employees","Euro","0.06"
"Average Hourly Benefit in Kind","2022Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Benefit in Kind","2022Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Benefit in Kind","2022Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q1","Construction (F)","All employees","Euro","746.99"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q2","Construction (F)","All employees","Euro","738.25"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q3","Construction (F)","All employees","Euro","750.91"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q4","Construction (F)","All employees","Euro","771.43"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q1","Construction (F)","All employees","Euro","763.89"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q2","Construction (F)","All employees","Euro","751.51"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q3","Construction (F)","All employees","Euro","733.44"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q4","Construction (F)","All employees","Euro","740.62"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2009Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q1","Construction (F)","All employees","Euro","735.34"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q2","Construction (F)","All employees","Euro","708.22"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q3","Construction (F)","All employees","Euro","653.26"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q4","Construction (F)","All employees","Euro","751.24"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2010Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q1","Construction (F)","All employees","Euro","679.75"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q2","Construction (F)","All employees","Euro","711.29"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q3","Construction (F)","All employees","Euro","697.66"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q4","Construction (F)","All employees","Euro","649.53"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2011Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q1","Construction (F)","All employees","Euro","673.29"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q2","Construction (F)","All employees","Euro","661.13"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q3","Construction (F)","All employees","Euro","702.42"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q4","Construction (F)","All employees","Euro","689.95"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2012Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q1","Construction (F)","All employees","Euro","672.89"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q2","Construction (F)","All employees","Euro","686.73"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q3","Construction (F)","All employees","Euro","700.9"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q4","Construction (F)","All employees","Euro","715.12"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2013Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q1","Construction (F)","All employees","Euro","718.8"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q2","Construction (F)","All employees","Euro","746.61"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q3","Construction (F)","All employees","Euro","703.38"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q4","Construction (F)","All employees","Euro","736.4"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2014Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q1","Construction (F)","All employees","Euro","711.36"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q2","Construction (F)","All employees","Euro","709.71"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q3","Construction (F)","All employees","Euro","697.52"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q4","Construction (F)","All employees","Euro","730"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2015Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q1","Construction (F)","All employees","Euro","736.29"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q2","Construction (F)","All employees","Euro","736.94"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
